n_train_instances,n_test_instances,n_vehicles,n_locations,average_training_runtime,best_train_runtime,predicted_runtime,solver_default_runtime,param_MIPFocus,param_Heuristics,param_VarBranch
10,10,3,20,0.8247283239364623,0.18267524242401123,0.3196969985961914,0.34566802978515626,1,0,1
10,10,3,21,0.49163466072082523,0.15251379013061522,0.33913681507110593,0.3944909334182739,0,0,1
10,10,3,22,2.0823466210365296,0.2593327522277832,0.2851829767227173,0.4461686134338379,1,0,1
10,10,3,23,8.402514886856078,0.4571512222290039,0.32182271480560304,0.3846682786941528,1,0,0
10,10,3,24,5.869516650676727,0.5553183078765869,0.4143893957138062,0.4522136926651001,0,0.25,1
10,10,3,25,2.0708630571365356,0.4058772802352905,0.9589890241622925,0.8547610282897949,1,0,0
