n_train_instances,n_test_instances,n_vehicles,n_locations,average_training_runtime,best_train_runtime,predicted_runtime,solver_default_runtime,param_MIPFocus,param_Heuristics,param_VarBranch
10,10,3,20,0.8316335539817808,0.15775554180145263,0.21431832313537597,0.3057933568954468,0,0,1
10,10,3,21,0.8373707184791565,0.174873423576355,0.29191687107086184,0.2926425218582153,1,0,1
10,10,3,22,2.9702990546226498,0.2678455591201782,0.2876496076583862,0.40998020172119143,1,0,-1
10,10,3,23,12.232562565326688,0.32217299938201904,0.21987555027008057,0.3653977394104004,0,0,1
10,10,3,24,1.2560403032302856,0.32599549293518065,0.8597976207733155,0.7115753173828125,1,0,-1
10,10,3,25,3.1485269865989682,0.3797956943511963,0.8876736402511597,0.738661789894104,0,0.05,0
