n_train_instances,n_test_instances,n_vehicles,n_locations,average_training_runtime,best_train_runtime,predicted_runtime,solver_default_runtime,param_MIPFocus,param_Heuristics,param_VarBranch
10,10,3,20,1.51809836769104,0.25712692737579346,0.8845097541809082,0.9111936092376709,0,0,0
10,10,3,21,2.5104825139045714,0.6651025772094726,0.88096182346344,0.8961308002471924,0,0,-1
10,10,3,22,6.720382804870606,1.1763525009155273,0.9912853479385376,1.030763530731201,0,0.25,0
10,10,3,23,2.204142674922943,0.7693074464797973,1.1905627012252809,1.3491559028625488,0,0,1
10,10,3,24,2.8630179715156547,0.32564358711242675,0.4665060997009277,0.4229049921035767,0,0.05,-1
10,10,3,25,16.494521788597105,0.4864037990570068,0.38445658683776857,0.47572765350341795,0,0.05,-1
10,10,3,26,2.6817364287376404,0.3842982530593872,2.3263765811920165,1.4301937818527222,1,0,-1
10,10,3,27,4.770434160709382,0.38772332668304443,0.43726406097412107,0.49649250507354736,0,0,1
10,10,3,28,16.561133299827574,0.5980875015258789,0.6372129917144775,0.7973276138305664,0,0.05,-1
10,10,3,29,2.4301416215896605,0.5374570608139038,0.9378364324569702,0.8924649715423584,0,0.05,0
