n_train_instances,n_test_instances,n_vehicles,n_locations,average_training_runtime,best_train_runtime,predicted_runtime,solver_default_runtime,param_MIPFocus,param_Heuristics,param_VarBranch
3,10,3,20,1.3833745050430297,0.14905023574829102,0.49029810428619386,0.714911937713623,1,0,1
4,10,3,20,0.609171895980835,0.2445853352546692,0.4545461654663086,0.4389780044555664,1,0,1
5,10,3,20,6.2712321281433105,0.3519005298614502,0.788918924331665,1.1085507154464722,0,0,1
6,10,3,20,1.6589538470904028,0.6515303452809652,0.7783080339431763,1.0402809143066407,0,0,1
7,10,3,20,8.380871306146894,0.7671009131840297,0.7992937326431274,0.9298135042190552,1,0,0
8,10,3,20,2.3147603422403336,0.432844340801239,0.9193351984024047,1.109459400177002,1,0,1
9,10,3,20,1.4660942660437692,0.33850834104749894,1.0356507778167725,1.3782568216323852,1,0,1
